id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,positive_count,negative_count,binh_luan_SP,binh_luan_Prices,binh_luan_services,label
1,443,thoải_mái,29/04/2023,17:06,5,308500015,0,0,0,0,0,good
2,1030,thoải_mái,30/04/2023,15:04,5,308500015,0,0,0,0,0,good
3,689,thích tẩy_trang,30/04/2023,18:34,5,422216594,1,0,0,0,0,good
4,2519,khả_năng sạch tốt lớp trang da mắt môi_chóng bỏ tẩy_trang toàn bụi bẩn dầu_thừa lớp đi kỳ phù_hợp không_sạch da_dịu giúp tình_trạng ngứa_ngáy chịu,17/07/2022,13:48,5,204100075,3,1,1,0,0,good
5,402,sữa rửa mặt tốt sạch mụn mịn da,15/04/2023,23:04,5,422208977,3,0,1,0,0,good
7,2517,dòng srm chân tuyp thử ok da nhờn khô_hở tí nổi mụn điểm,25/12/2022,17:11,5,204100019,1,2,1,0,0,good
8,1750,bha obagi thử plc chuẩn kèm quà tặng quà trừ tiền,9/7/2022,4:34,5,100220035,1,0,1,1,1,good
9,3394,ok xài,7/7/2022,11:18,5,204100024,1,0,0,0,0,good
10,1817,ứng,5/2/2024,3:50,4,422216354,0,0,0,0,0,good
11,3556,nhân_viên tư_vấn train da đẹp dán mụn tè,12/9/2023,22:33,5,100250032,1,0,1,0,0,good
12,2375,mùi thơm_dịu mát thư_giãn,29/04/2023,16:52,5,422205163,1,0,1,0,0,good
13,2027,đánh_giá vụ nâng trắng da_chỉnh nửa chống nắng_lót phê_hợp kiểu đồ học_nhiên không_dày mặt,24/10/2022,18:02,5,249500019,2,1,1,1,0,good
14,2928,sánh ẩm_không_tốt tốt giá da dầu da ẩm_thoải_mái mặt_nạ không_bàn,27/03/2024,22:14,5,422209718,2,1,1,1,0,good
15,3059,miếng mỏng thấm tẩy_trang toner nhũn mặt đáp_ứng cầu tốt hơn,19/12/2020,7:52,2,413400001,2,0,0,0,0,bad
16,1118,xài tốt_tẩy trang sạch xài thích tẩy_trang loreal inisfre không_mùi hóa học da không_châm xài trôi chùi sạch lợi_thể rửa mặt,22/06/2021,9:30,5,422204884,3,1,1,0,0,good
17,2273,hơi bết trắng quá,17/12/2022,11:20,4,422208183,0,1,1,0,0,good
18,736,tốt,5/12/2022,15:52,5,100230056,1,0,0,0,0,good
19,731,kiểu tiền xài trang hơi,4/3/2023,19:08,5,100230056,0,0,0,1,0,good
20,4234,rít mặt đắp xomg rôid_dưỡng nhiên mask tốt đắp không_kích_ứng,17/07/2023,23:05,4,422205637,1,1,1,0,0,good
21,2696,ok luôn,18/08/2019,23:21,5,422203776,1,0,0,0,0,good
22,1806,,8/12/2016,7:54,5,422216098,0,0,0,0,0,good
23,1281,ok tiền,11/10/2021,12:13,5,204900005,1,0,0,1,0,good
24,3417,mùi_nhiên hạt nhẹ không_rát không_kích_ứng da mỏng xài ok thử tuýp tí giùm mỏi mắt,30/06/2022,22:32,5,351700026,1,2,1,0,0,good
25,1268,sạch không_khô sạch dầu,18/09/2024,12:03,5,204900056,1,1,1,0,0,good
26,1360,trời da_xài trông,3/7/2024,8:06,5,422208328,0,0,1,0,0,good
27,2255,quan_tích giá rẻ_hợp học_viên vấn_đề da đơn_giản sạch mùi thơm nhạy_cảm_hương cân_nhắc sữa rửa mặt bọt,12/10/2021,21:48,5,357100011,3,1,1,1,0,good
29,2647,viền sắc rát mặt xước mặt,15/02/2022,14:41,2,422203300,0,1,1,0,0,bad
30,3508,chuẩn đắp thích da_mướt mịn hẳn,1/10/2021,4:50,5,386000044,4,0,1,0,0,good
31,2484,chống nắng ưng tệp màu_da tán không_trôi đổ,10/3/2022,16:20,5,422204388,1,2,1,0,0,good
32,4003,tiên da dầu không_khô da da mặt sạch cũ,31/05/2022,13:52,5,422205673,1,1,1,0,0,good
33,3626,da nhạy_cảm da hỗn_hợp thiên_khô xài êm không_kích_ứng nâng tone_nhiên mỏng nhẹ không_mặt mắt,30/10/2024,17:25,5,343100024,2,1,1,0,0,good
34,3176,dưỡng da tốt,10/7/2020,22:49,5,345800001,1,0,1,0,0,good
35,2405,ok,26/04/2023,18:41,5,308500018,1,0,0,0,0,good
36,681,mùi hương_mát da giá_thành,30/04/2023,15:02,5,204100019,0,0,1,1,0,good
37,319,kiểu tách thời_tiết lạnh_ổn da dầu mụn xài típ quây_dưỡng da ổn,7/7/2024,23:26,4,422204167,1,0,1,0,0,good
39,132,tốt đường viền chắn chắn không_xơ tưa mềm,25/05/2023,11:14,5,422212331,1,2,1,0,0,good
40,2723,dạng sữa thắm hơi rửa mặt xài,9/6/2023,13:34,3,248700035,0,0,0,0,0,neutral
42,575,thử_kì hài chống nắng tốt nâng không_da da khô_hơi nhạy_cảm mụn tốt,29/05/2024,9:02,5,253900006,1,1,1,0,0,good
43,2887,liên_tục vòng quan_sát kĩ_da cải_thiện_rệt chân nám mờ dần luôn texture lỏng nhẹ thấm_kì nhẹ da_kì thích luôn packaging thủy thông_tiết cộng đánh_giá trừ hị hị đối_yêu thích_dưỡng trắng tình_trạng thâm_nám nhẹ xuyên luôn,25/01/2021,13:49,5,422202580,1,0,1,1,0,good
44,677,thích tẩy_trang,3/5/2023,18:31,5,200400004,1,0,0,0,0,good
46,2344,thoải_mái,1/5/2023,20:04,5,308500004,0,0,0,0,0,good
47,2893,bì đẹp thấm da trắng lọ màu kèm ẩm tốt,1/2/2021,13:41,5,422202580,3,0,1,0,0,good
48,182,trang tốt quà tặng không_kèm chưng,28/05/2022,14:22,4,422204259,2,1,1,0,1,good
49,3810,lọ_dưỡng ẩm_xài hủ thấm,14/05/2024,8:44,5,422209048,1,0,1,0,0,good
50,1637,da khô_nhiên vichy_dưỡng ẫm serum bình_tán laroch cũ nâng nửa da khô_bôi da hơi ẩm_không_khô căng,24/07/2024,11:32,5,100160022,1,1,1,0,0,good
51,706,thích tẩy_trang,28/04/2023,18:32,5,100230064,1,0,0,0,0,good
52,414,công_bố tế click_không_thể gửi khảo hãng,30/03/2023,13:04,5,422208976,0,1,1,0,0,good
54,441,truóc ổn mùi cồn nồng_nặc,12/11/2022,10:11,4,249500027,1,1,1,0,0,good
55,1469,hợp dầu mắc quá,5/1/2022,1:03,4,204900056,1,0,1,0,0,good
56,380,thân da dầu nổi mụn cerave item không_chăm da sĩ khuyên dùng,22/04/2024,15:21,5,422208976,0,2,1,0,0,good
57,2019,chống nắng giá bình_dân tán nâng toner,20/11/2022,17:14,5,249500019,0,0,0,1,0,good
58,777,ok bàn_thích dịch_vụ dịch tỉnh,20/09/2021,16:36,5,100230057,2,0,0,0,0,good
59,787,thích dịu nhẹ hợp tẩy_trang mỏng nhẹ dày lì tẩy_trang,22/06/2021,8:29,5,100230057,3,0,1,0,0,good
60,2528,da dầu dầu mụn cân_nhắc chăm_sóc thuốc đặc_trị mụn bôi ẩm thấm_kì tối_bôi lớp mỏng tóm da dầu mụn,15/07/2021,8:34,3,343700002,1,0,1,0,0,neutral
61,201,tốt không_quà tặng tưởng,18/06/2022,9:17,4,422204259,1,1,1,0,1,good
62,378,da da dầu_rửa mặt da dầu tiết_kiệm hợp_lý cetaphil_tích tương_đương tháng,31/05/2024,22:45,4,422208974,1,0,1,0,0,good
63,223,trang sạch lớp dầu ẩm_da không_khô da,14/02/2022,20:59,5,205100136,2,1,1,0,0,good
64,1467,hợp da_bọt siêu_thích giá,10/2/2022,7:41,5,204900004,2,0,1,1,0,good
65,1487,thích sirum xài,10/1/2021,12:01,5,204900004,1,0,0,0,0,good
66,324,mùi trái thơm nhẹ_tẩy da chết dịu nhẹ không_khô da giá,12/9/2020,17:15,5,245500009,2,1,1,1,0,good
67,142,da kích_ứng alcohol_tẩy trang êm_tẩy trang chống nắng lớp sạch không_khô da,30/04/2023,12:02,5,422206648,2,1,1,0,0,good
68,2553,acne đóng_gói kỹ_tiếc lỡ chất không_da mụn giải_quyết vấn_đề liên_quan dầu nhờn thâm_lỗ chân_lông,9/11/2020,16:19,5,204100018,0,2,1,0,0,good
69,1245,trang xài thích,11/6/2023,13:56,5,422212331,1,0,0,0,0,good
70,2336,giàng thoải_mái,2/5/2023,16:23,5,422205163,0,0,0,0,0,good
71,3362,vichy thích lám mát da_cự kỳ_thấm da cảm_giác khô_thoáng nhẹ,22/06/2019,10:13,5,201600019,1,1,1,1,0,good
72,2434,da mặt nhạy_cảm mask_hợp da tiếc_mask chờ_đợi mãi mask lại mẫu mask,27/02/2021,20:52,5,422205164,1,0,1,0,0,good
73,2523,môi thâm_thời dài,20/08/2023,14:23,5,200500293,0,0,0,0,0,good
74,1282,mãi hoài,11/10/2021,9:44,5,422216603,0,0,0,0,0,good
75,742,tặng tẩy_trang không_tặng rửa mặt,16/09/2022,13:35,4,200400003,0,1,1,0,1,good
76,1370,ẩm ổn vết thâm_mờ tốt thâm cũ mờ,15/04/2023,16:18,3,318900002,3,0,1,0,0,neutral
77,384,đánh_giá da siêu_nhạy_cảm không_chống nắng kích_ứng lập_tức rửa mặt không_hề_lọ da mụn lớp da đẹp mặt không_vân không_trôi mồ_hôi trôi sạch không_không đổ mùi cồn mắt ưng da mụn_tẩy trang kỹ,29/10/2023,9:58,5,422212097,3,1,1,1,0,good
78,1061,nắp hồng_dịu nhẹ lành_ok người,15/08/2023,0:07,5,422204910,2,0,1,0,0,good
79,3533,viêm da_tiết bã mụn rosacea xài hầu_không_hợp da hỗn_hợp thiên_khô khô rửa mặt da ẩm_kích_ứng đỏ hôm nổi vết kết_hợp dưỡng mỏng nhẹ cerave bioderma cicabio da ẩm_kết_hợp chất dày_hợp nằm tóm_hợp da dầu hỗn_hợp xài không_kết_hợp ngủ_dưỡng ẩm khác,18/12/2022,12:22,4,422202629,3,1,1,0,0,good
80,469,chống nắng tặng sirum thời_hạn,10/5/2023,13:14,5,204900013,0,0,0,0,1,good
81,1944,,18/11/2023,15:41,5,422209262,0,0,0,0,0,good
82,306,tẩy sạch giá chăng,3/1/2021,10:11,4,205100146,1,1,1,1,0,good
83,421,da hỗn_hợp thiên_dầu không_hề khô căng da_dạng suốt bọt mặt da mụn_ẩn trộm_vía không_đẩy giá hơi,14/11/2022,7:43,5,422208975,1,1,1,1,0,good
84,270,da ok thâm_mờ đỡ mụn viêm kiên_trì,27/03/2022,19:06,5,327500002,2,0,1,0,0,good
85,2382,nhẹ_nhàng thoải_mái,29/04/2023,12:40,5,308500015,0,0,0,0,0,good
86,1490,rửa cảm_giác sạch nhẹ trình rửa bọt mịn thơm_thích luôn,2/11/2020,11:57,5,204900056,4,0,1,1,0,good
87,2498,mùi hương_mát giá_thành ổn,3/5/2023,18:13,5,422206537,1,0,1,1,0,good
88,1972,mát dịu da thích giá thích_hợp_viên,20/07/2023,19:01,5,100150059,3,0,1,1,0,good
89,1348,xài chất màu tím chất sửa màu hồng_nhạt mùi dê mỏng nhẹ không_đổ dầu,22/05/2021,13:24,5,422207414,0,1,1,0,0,good
91,801,,13/10/2020,19:19,5,100230064,0,0,0,0,0,good
92,679,thoải_mái,2/5/2023,10:00,5,422205164,0,0,0,0,0,good
93,138,đắp mê,2/7/2023,20:04,5,422205809,0,0,0,0,0,good
94,1394,da dầu mụn_xài mát nhẹ_mặt tối sáng mặt dầu mụn nhiều cồn,5/10/2021,12:11,3,422200305,1,0,1,0,0,neutral
95,350,ổn,6/8/2022,14:11,5,422203301,1,0,0,0,0,good
96,715,tốt,20/04/2023,10:06,5,200400004,1,0,0,0,0,good
97,1734,mùi,20/11/2023,10:08,5,100220037,0,0,0,0,0,good
98,3854,lọ giá đắt lọ thất quá,28/03/2022,14:56,1,100210020,0,1,0,1,0,bad
99,2241,lọ thử trắng kiếm mãi_hợp da mặt nhạy_cảm lọ,10/10/2023,20:20,5,206400009,1,0,1,0,0,good
100,689,thành ổn,1/5/2023,9:30,5,204100019,1,0,0,0,0,good
101,140,da treatment tretinoin khô nhạy_cảm xịt_khoáng ẩm_dịu da không_không chất dịu da vòi xịt sương thấm da,13/12/2023,23:42,5,204100078,2,1,1,0,0,good
102,415,,15/03/2023,7:31,5,422208974,0,0,0,0,0,good
103,35,kì phù_hợp giá_thành,17/04/2023,13:48,5,100230059,1,0,1,1,0,good
104,4319,lỏng đổ rahari trắng sáng,11/4/2020,17:53,4,223600032,1,0,1,0,0,good
105,403,tốt,15/04/2023,20:27,5,422208972,1,0,0,0,0,good
106,616,da chống nắng ổn kháng bụi không_mặt thấm không_da trừ hương_hơi gắt,27/03/2022,2:21,4,253900006,1,1,1,0,0,good
107,1162,xài bình_ok finish đẹp hôm ẩm khô da tróc_đồ nhẹ,2/9/2023,17:31,4,422217292,3,1,1,0,0,good
108,2438,mặt xài tốt,8/11/2020,0:07,5,422205162,1,0,0,0,0,good
109,2466,review chất sau,18/06/2019,16:19,5,422205160,0,0,0,0,0,good
110,236,đỉnh sự,30/11/2021,21:32,5,422204259,1,0,1,0,0,good
111,3338,sữa chống nắng xài tốt mỏng nhẹ thấm mùi cồn,4/10/2019,19:19,4,223600010,1,0,0,0,0,good
112,1453,da dầu sirum rửa sạch khô_bênh cánh mũi tróc da nguyên mặt căng,20/08/2022,11:48,3,204900159,1,1,1,0,0,neutral
113,2427,đắp đốt mụn sưng hẵn sạch sợi bã,2/6/2021,12:25,5,422202253,2,0,1,0,0,good
114,341,trang hậu_cảm tốt nhất cảm_giác_nhiên không_nhờn rít mùi hơi mùi mát mịn rẻ hậu_cảm tốt,14/03/2020,15:54,5,422211446,2,1,1,1,0,good
116,56,ẩm tốt dịu nhẹ da nhạy_cảm không_mùi thích,1/8/2022,22:43,5,318900012,4,1,1,0,0,good
117,2456,mặt_nạ đắp thiệt_miếng đắp thử đắp da trắng sáng trông luôn,10/2/2020,16:15,5,308500013,1,0,1,0,0,good
118,966,da da hỗn_hợp dầu chữ khô má dịu nhẹ ẩm tốt da bình_nhiên vòi bơm,29/03/2023,15:47,5,357100004,4,1,1,0,0,good
119,2986,tiện_lợi thử ok da ngứa_mẫn đỏ xài retinol không_ẩm xài đỡ nhiều thử tư_vấn tốt,7/8/2023,16:06,5,422200342,3,1,1,0,0,good
120,1711,bha xài êm không_cảm_giác châm chích khô rát da khô thích bôi da_hơi cảm_giác dầu da sáng dậy rửa mặt da_mướt mọng kiên_trì mụn sạch lỗ chân lông,6/5/2024,7:14,5,100220035,5,2,1,1,0,good
121,2749,da dâu thích không_khô da tiếp,13/10/2022,20:51,5,331300002,1,1,1,0,0,good
122,676,,17/01/2023,16:16,3,226200018,0,0,0,0,0,neutral
123,1495,tốt,30/04/2020,20:11,5,204900159,1,0,0,0,0,good
125,2753,tốt mỏng mịn thấm chống nắng,11/6/2022,12:45,5,422211276,2,0,1,0,0,good
126,704,thích tẩy_trang,28/04/2023,18:42,5,100230057,1,0,0,0,0,good
127,2140,hôm yên_tâm kiếm đơn hàng hộp không_mác dấu nhắn không_phản hồi không_vấn hơi,21/02/2024,8:23,4,422209841,0,1,1,0,0,good
